objectid,title,date,object_location,display_template,location,latitude,longitude,image_thumb
sagayearbook1992augu,"Saga : [yearbook of Augustana University College], 1992",1992,https://archive.org/details/sagayearbook1992augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1992augu
sagayearbook1993augu,"Saga : [yearbook of Augustana University College], 1993",1993,https://archive.org/details/sagayearbook1993augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1993augu
sagayearbook1994augu,"Saga : [yearbook of Augustana University College], 1994",1994,https://archive.org/details/sagayearbook1994augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1994augu
sagayearbook1995augu,"Saga : [yearbook of Augustana University College], 1995",1995,https://archive.org/details/sagayearbook1995augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1995augu
sagayearbook1996augu,"Saga : [yearbook of Augustana University College], 1996",1996,https://archive.org/details/sagayearbook1996augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1996augu
sagayearbook1997augu,"Saga : [yearbook of Augustana University College], 1997",1997,https://archive.org/details/sagayearbook1997augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1997augu
sagayearbook1998augu,"Saga : [yearbook of Augustana University College], 1998",1998,https://archive.org/details/sagayearbook1998augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1998augu
sagayearbook1999augu,"Saga : [yearbook of Augustana University College], 1999",1999,https://archive.org/details/sagayearbook1999augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1999augu
sagayearbook2000augu,"Saga : [yearbook of Augustana University College], 2000",2000,https://archive.org/details/sagayearbook2000augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2000augu
sagayearbook2001camr,"Saga : [yearbook of Augustana University College], 2001",2001,https://archive.org/details/sagayearbook2001camr,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2001camr
sagayearbook2002augu,"Saga : [yearbook of Augustana University College], 2002",2002,https://archive.org/details/sagayearbook2002augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2002augu
sagayearbook2003augu,"Saga : [yearbook of Augustana University College], 2003",2003,https://archive.org/details/sagayearbook2003augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2003augu
sagayearbook2004augu,"Saga : [yearbook of Augustana University College], 2004",2004,https://archive.org/details/sagayearbook2004augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2004augu
sagayearbook2005augu,"Saga : [yearbook of Augustana University College], 2005",2005,https://archive.org/details/sagayearbook2005augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2005augu
sagayearbook2006augu,"Saga : [yearbook of Augustana University College], 2006",2006,https://archive.org/details/sagayearbook2006augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2006augu
sagayearbook1992augu,"Saga : [yearbook of Augustana University College], 1992",1992,https://archive.org/details/sagayearbook1992augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1992augu
sagayearbook1993augu,"Saga : [yearbook of Augustana University College], 1993",1993,https://archive.org/details/sagayearbook1993augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1993augu
sagayearbook1994augu,"Saga : [yearbook of Augustana University College], 1994",1994,https://archive.org/details/sagayearbook1994augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1994augu
sagayearbook1995augu,"Saga : [yearbook of Augustana University College], 1995",1995,https://archive.org/details/sagayearbook1995augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1995augu
sagayearbook1996augu,"Saga : [yearbook of Augustana University College], 1996",1996,https://archive.org/details/sagayearbook1996augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1996augu
sagayearbook1997augu,"Saga : [yearbook of Augustana University College], 1997",1997,https://archive.org/details/sagayearbook1997augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1997augu
sagayearbook1998augu,"Saga : [yearbook of Augustana University College], 1998",1998,https://archive.org/details/sagayearbook1998augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1998augu
sagayearbook1999augu,"Saga : [yearbook of Augustana University College], 1999",1999,https://archive.org/details/sagayearbook1999augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook1999augu
sagayearbook2000augu,"Saga : [yearbook of Augustana University College], 2000",2000,https://archive.org/details/sagayearbook2000augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2000augu
sagayearbook2002augu,"Saga : [yearbook of Augustana University College], 2002",2002,https://archive.org/details/sagayearbook2002augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2002augu
sagayearbook2003augu,"Saga : [yearbook of Augustana University College], 2003",2003,https://archive.org/details/sagayearbook2003augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2003augu
sagayearbook2004augu,"Saga : [yearbook of Augustana University College], 2004",2004,https://archive.org/details/sagayearbook2004augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2004augu
sagayearbook2005augu,"Saga : [yearbook of Augustana University College], 2005",2005,https://archive.org/details/sagayearbook2005augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2005augu
sagayearbook2006augu,"Saga : [yearbook of Augustana University College], 2006",2006,https://archive.org/details/sagayearbook2006augu,item,Augustana University College,53.0124,-112.825,https://archive.org/services/img/sagayearbook2006augu
annuairejuniorat1943csj,Annuaire Juniorat Saint-Jean - 1943,1943,https://archive.org/details/annuairejuniorat1943csj,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/annuairejuniorat1943csj
SJCFC-2-9-3,Collège Saint-Jean Annuaire - 1947 ,1947,https://archive.org/details/SJCFC-2-9-3,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-9-3
SJCFC-2-10-1,Collège Saint-Jean Annuaire - 1948 ,1948,https://archive.org/details/SJCFC-2-10-1,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-10-1
SJCFC-2-10-3,Collège Saint-Jean Annuaire - 1949,1949,https://archive.org/details/SJCFC-2-10-3,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-10-3
SJCFC-2-11-1,Saint-Jean - Collège - 1951-1952,1952,https://archive.org/details/SJCFC-2-11-1,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-11-1
SJCFC-2-9-1,Annuaire Juniorat Saint-Jean - L'Écho - 1952 ,1952,https://archive.org/details/SJCFC-2-9-1,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-9-1
SJCFC-2-11-2,Collège Saint-Jean Annuaire - 1952-1953,1953,https://archive.org/details/SJCFC-2-11-2,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-11-2
SJCFC-2-11-3_S,Collège Saint-Jean Annuaire - 1954,1954,https://archive.org/details/SJCFC-2-11-3_S,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-11-3_S
SJCFC-2-12-1,Collège Saint-Jean Annuaire - 1954-1955,1955,https://archive.org/details/SJCFC-2-12-1,item,Campus Saint-Jean,53.52087,-113.4697,https://archive.org/services/img/SJCFC-2-12-1
